Rider_ID,Rider_Name,Store_ID,Rider_Status,Average_Rating,Average_Delivery_Time_Min
RID0481,Suraj Mondal,DS012,On Leave,4.4,22.5
RID0482,Ravi Kamble,DS012,Active,3.8,21.6
RID0483,Prakash Das,DS012,Active,3.9,12.5
RID0484,Dharmendra Roy,DS012,Active,3.2,12.6
RID0485,Akshay Ansari,DS012,Active,4.9,12.8
RID0486,Tarikul Biswas,DS012,Active,3.0,12.2
RID0487,Ganesh Maurya,DS012,Active,3.9,18.1
RID0488,Ravi Khan,DS012,Active,4.3,24.6
RID0489,Rahul Khan,DS012,Active,4.6,16.9
RID0490,Nilesh Paswan,DS012,Active,5.0,13.6
RID0491,Suresh Yadav,DS012,Active,4.5,19.5
RID0492,Raj Ali,DS012,Active,4.5,12.3
RID0493,Mohammed Reddy,DS012,Active,4.8,12.2
RID0494,Anita Gaikwad,DS012,Active,4.0,18.1
RID0495,Mithun Ghosh,DS012,Active,5.0,18.0
RID0496,Anbu Gowda,DS012,Active,4.7,24.1
RID0497,Kavita Kamble,DS012,Active,4.3,27.4
RID0498,Ram Mahato,DS012,Active,4.3,20.0
RID0499,Vithal Jadhav,DS012,Active,4.5,15.4
RID0500,Rakesh Singh,DS012,Active,4.3,20.1
